id,quiz_id,question_id,selected_option,answered_at
69,5dd9258f-812a-4ad5-b2e0-311d8430d660,1,UNSURE,2026-01-04 23:19:20.36872
71,5dd9258f-812a-4ad5-b2e0-311d8430d660,2,NONE,2026-01-04 23:19:18.864888
73,5dd9258f-812a-4ad5-b2e0-311d8430d660,3,HEARD,2026-01-03 10:11:27.392273
152,5dd9258f-812a-4ad5-b2e0-311d8430d660,4,RARE,2026-01-04 23:17:01.238094
146,5dd9258f-812a-4ad5-b2e0-311d8430d660,5,REPUTATION,2026-01-05 02:33:42.433534
153,5dd9258f-812a-4ad5-b2e0-311d8430d660,6,CLEAR,2026-01-04 23:17:06.935629
154,5dd9258f-812a-4ad5-b2e0-311d8430d660,7,MINOR,2026-01-04 23:17:08.508863
147,5dd9258f-812a-4ad5-b2e0-311d8430d660,8,NEVER,2026-01-04 23:17:18.11212
156,5dd9258f-812a-4ad5-b2e0-311d8430d660,9,UNCLEAR,2026-01-04 23:17:19.253929
157,5dd9258f-812a-4ad5-b2e0-311d8430d660,10,HIGH,2026-01-04 23:17:21.28721
158,5dd9258f-812a-4ad5-b2e0-311d8430d660,11,CLEAR,2026-01-04 23:17:24.725793
159,5dd9258f-812a-4ad5-b2e0-311d8430d660,12,MOSTLY,2026-01-04 23:17:25.991309
160,5dd9258f-812a-4ad5-b2e0-311d8430d660,13,HARD,2026-01-04 23:17:27.180123
161,5dd9258f-812a-4ad5-b2e0-311d8430d660,14,NEGLECTED,2026-01-04 23:17:30.260159
162,5dd9258f-812a-4ad5-b2e0-311d8430d660,15,SOME,2026-01-04 23:17:31.334683
163,5dd9258f-812a-4ad5-b2e0-311d8430d660,16,FEW,2026-01-04 23:17:33.210682
164,5dd9258f-812a-4ad5-b2e0-311d8430d660,17,PROVEN,2026-01-04 23:17:35.704953
165,5dd9258f-812a-4ad5-b2e0-311d8430d660,18,HIGH,2026-01-04 23:17:36.758104
166,5dd9258f-812a-4ad5-b2e0-311d8430d660,19,NONE,2026-01-04 23:17:38.774271
167,5dd9258f-812a-4ad5-b2e0-311d8430d660,20,NONE,2026-01-04 23:17:42.06148
168,5dd9258f-812a-4ad5-b2e0-311d8430d660,21,WEAK,2026-01-04 23:17:44.213647
169,5dd9258f-812a-4ad5-b2e0-311d8430d660,22,MODERATE,2026-01-04 23:17:46.385193
170,5dd9258f-812a-4ad5-b2e0-311d8430d660,23,TEMP,2026-01-04 23:17:47.904225
171,5dd9258f-812a-4ad5-b2e0-311d8430d660,24,NONE,2026-01-04 23:17:51.089405
172,5dd9258f-812a-4ad5-b2e0-311d8430d660,25,LONG,2026-01-04 23:17:52.4287
173,5dd9258f-812a-4ad5-b2e0-311d8430d660,26,PRODUCT,2026-01-04 23:17:54.01528
174,5dd9258f-812a-4ad5-b2e0-311d8430d660,27,REJECTS,2026-01-04 23:17:59.156735
175,5dd9258f-812a-4ad5-b2e0-311d8430d660,28,EXCITED,2026-01-04 23:18:00.178805
